clip_id,model,stem,start_sec,end_sec,source_path,output_path
malaika_27_35,Apollo,vocals,27.0,35.0,/private/users/baowenxin/流式/transsion_outputs/Apollo/肯尼亚/Nyashinski - Malaika (Official Music Video) [CaQKtZQCLBY]m4a/vocals.wav,/private/users/baowenxin/compare/malaika_27_35/Apollo_vocals.wav
malaika_27_35,Apollo,acc,27.0,35.0,/private/users/baowenxin/流式/transsion_outputs/Apollo/肯尼亚/Nyashinski - Malaika (Official Music Video) [CaQKtZQCLBY]m4a/acc.wav,/private/users/baowenxin/compare/malaika_27_35/Apollo_acc.wav
malaika_27_35,BandIt_BSRNN,vocals,27.0,35.0,/private/users/baowenxin/流式/transsion_outputs/BandIt_BSRNN/肯尼亚/Nyashinski - Malaika (Official Music Video) [CaQKtZQCLBY]m4a/vocals.wav,/private/users/baowenxin/compare/malaika_27_35/BandIt_BSRNN_vocals.wav
malaika_27_35,BandIt_BSRNN,acc,27.0,35.0,/private/users/baowenxin/流式/transsion_outputs/BandIt_BSRNN/肯尼亚/Nyashinski - Malaika (Official Music Video) [CaQKtZQCLBY]m4a/acc.wav,/private/users/baowenxin/compare/malaika_27_35/BandIt_BSRNN_acc.wav
malaika_27_35,demucs,vocals,27.0,35.0,/private/users/baowenxin/流式/transsion_outputs/demucs/肯尼亚/Nyashinski - Malaika (Official Music Video) [CaQKtZQCLBY]m4a/vocals.wav,/private/users/baowenxin/compare/malaika_27_35/demucs_vocals.wav
malaika_27_35,demucs,acc,27.0,35.0,/private/users/baowenxin/流式/transsion_outputs/demucs/肯尼亚/Nyashinski - Malaika (Official Music Video) [CaQKtZQCLBY]m4a/acc.wav,/private/users/baowenxin/compare/malaika_27_35/demucs_acc.wav
malaika_27_35,DTTNet,vocals,27.0,35.0,/private/users/baowenxin/流式/transsion_outputs/DTTNet/肯尼亚/Nyashinski - Malaika (Official Music Video) [CaQKtZQCLBY]m4a/vocals.wav,/private/users/baowenxin/compare/malaika_27_35/DTTNet_vocals.wav
malaika_27_35,DTTNet,acc,27.0,35.0,/private/users/baowenxin/流式/transsion_outputs/DTTNet/肯尼亚/Nyashinski - Malaika (Official Music Video) [CaQKtZQCLBY]m4a/acc.wav,/private/users/baowenxin/compare/malaika_27_35/DTTNet_acc.wav
malaika_27_35,MDX23C_TFC_TDF_UNet,vocals,27.0,35.0,/private/users/baowenxin/流式/transsion_outputs/MDX23C_TFC_TDF_UNet/肯尼亚/Nyashinski - Malaika (Official Music Video) [CaQKtZQCLBY]m4a/vocals.wav,/private/users/baowenxin/compare/malaika_27_35/MDX23C_TFC_TDF_UNet_vocals.wav
malaika_27_35,MDX23C_TFC_TDF_UNet,acc,27.0,35.0,/private/users/baowenxin/流式/transsion_outputs/MDX23C_TFC_TDF_UNet/肯尼亚/Nyashinski - Malaika (Official Music Video) [CaQKtZQCLBY]m4a/acc.wav,/private/users/baowenxin/compare/malaika_27_35/MDX23C_TFC_TDF_UNet_acc.wav
malaika_27_35,SCNet,vocals,27.0,35.0,/private/users/baowenxin/流式/transsion_outputs/SCNet/肯尼亚/Nyashinski - Malaika (Official Music Video) [CaQKtZQCLBY]m4a/vocals.wav,/private/users/baowenxin/compare/malaika_27_35/SCNet_vocals.wav
malaika_27_35,SCNet,acc,27.0,35.0,/private/users/baowenxin/流式/transsion_outputs/SCNet/肯尼亚/Nyashinski - Malaika (Official Music Video) [CaQKtZQCLBY]m4a/acc.wav,/private/users/baowenxin/compare/malaika_27_35/SCNet_acc.wav
